Filename,Birth,Death,Publish,ActivityYear,SUM,傳記類_%,公車類_%,公車類_%,哀祭類_%,序跋類_%,書簡類_%,詩類_%,雜著類_%
430. 일암집(一庵集).xml,1648,1711,1865,1679,333,0.0,38.43843843843844,0.0,0.0,0.3003003003003003,17.71771771771772,43.54354354354354,0.0
478. 관봉유고(冠峯遺稿).xml,1673,1731,,1702,202,1.4851485148514851,0.0,0.0,10.891089108910892,1.9801980198019802,57.920792079207914,12.871287128712872,14.85148514851485
472. 내재집(耐齋集).xml,1672,1715,1730,1693,283,2.4734982332155475,0.0,0.0,2.1201413427561837,4.946996466431095,3.180212014134275,80.91872791519434,6.36042402826855
528. 운평집(雲坪集).xml,1710,1758,,1734,268,0.0,6.343283582089552,0.0,4.850746268656716,0.7462686567164178,55.223880597014926,25.37313432835821,7.462686567164178
527. 강한집(江漢集).xml,1709,1787,1790,1748,677,15.5096011816839,9.010339734121123,0.0,4.431314623338257,24.224519940915805,5.465288035450517,30.87149187592319,10.487444608567207
522. 원교집(圓嶠集).xml,1705,1777,,1741,191,13.089005235602095,0.0,0.0,8.900523560209423,0.0,1.5706806282722512,66.49214659685863,9.947643979057592
442. 경연당집(景淵堂集).xml,1654,1710,,1682,600,0.6666666666666667,4.0,0.0,4.833333333333333,0.16666666666666669,0.0,0.16666666666666669,90.16666666666666
526. 소곡유고(素谷遺稿).xml,1708,1786,1915,1747,274,26.277372262773724,9.124087591240876,0.0,12.408759124087592,10.218978102189782,12.043795620437956,8.02919708029197,21.897810218978105
534. 순암집(順菴集).xml,1712,1791,1900,1751,605,15.702479338842975,0.1652892561983471,0.0,4.958677685950414,8.429752066115702,40.16528925619834,22.975206611570247,7.6033057851239665
529. 한정당집(閒靜堂集).xml,1710,1752,1788,1731,263,3.802281368821293,0.0,0.0,3.802281368821293,2.6615969581749046,33.460076045627375,38.78326996197718,17.490494296577946
429. 몽와집(夢窩集).xml,1648,1722,1758,1685,423,0.0,12.529550827423167,0.0,0.0,0.4728132387706856,0.0,86.99763593380615,0.0
515. 월곡집(月谷集).xml,1700,1740,1752,1720,750,2.2666666666666666,6.133333333333333,0.0,3.8666666666666667,2.533333333333333,2.8000000000000003,79.33333333333333,3.0666666666666664
523. 백불암집(百弗菴集).xml,1705,1786,1816,1745,590,1.864406779661017,0.0,0.0,4.406779661016949,0.0,79.49152542372882,9.661016949152543,4.576271186440678
513. 뇌연집(雷淵集).xml,1698,1773,1783,1735,1510,8.27814569536424,5.562913907284768,0.0,3.90728476821192,4.304635761589404,6.225165562913907,64.56953642384106,7.152317880794702
440. 유하집(柳下集).xml,1653,1725,1730,1689,1892,0.42283298097251587,0.15856236786469344,0.0,0.36997885835095135,0.6871035940803383,0.10570824524312897,97.67441860465115,0.5813953488372093
535. 재간집(在澗集).xml,1712,1783,1813,1747,163,18.404907975460123,0.0,0.0,8.588957055214724,4.9079754601226995,4.294478527607362,58.895705521472394,4.9079754601226995
525. 탄만집(____集).xml,1708,1782,,1745,171,0.0,0.0,0.0,1.1695906432748537,27.485380116959064,0.0,35.08771929824561,36.25730994152047
452. 노가재집(老稼齋集).xml,1658,1721,1798,1689,724,0.0,0.0,0.0,0.0,0.2762430939226519,0.0,76.10497237569061,23.61878453038674
443. 창설재집(蒼雪齋集).xml,1654,1725,,1689,933,3.644158628081458,0.0,0.0,4.608788853161844,1.822079314040729,10.932475884244374,69.34619506966774,9.646302250803858
