제목,저자,생년,몰년,활동연도,公車類,書簡類,序跋類,詩類,哀祭類,雜著類,傳記類
梅軒照影,鄭煜,1708,1770,1739,0,0.854700855,1.709401709,71.79487179,18.8034188,5.982905983,0.854700855
龍山集,李夔,1699,1779,1739,0,13.38028169,2.112676056,73.94366197,6.338028169,4.225352113,0
冷泉文集,李猷遠,1695,1783,1739,0,21.01910828,0,53.50318471,22.29299363,0.636942675,2.547770701
?窩集,李弘?(城),1701,1778,1739,0,13.46153846,2.692307692,57.69230769,10.38461538,9.615384615,6.153846154
翕齋稿,李思質,1705,1776,1740,0,3.553299492,6.598984772,74.36548223,8.883248731,3.553299492,3.045685279
桐塢先生文集,安處宅,1705,1775,1740,0,12.67605634,0.704225352,78.16901408,4.929577465,0.704225352,2.816901408
桐岡先生遺稿,李毅敬,1704,1778,1741,0,9.836065574,15.57377049,44.26229508,4.918032787,9.016393443,16.39344262
剛窩集,任必大,1709,1773,1741,0,26.10837438,8.374384236,30.04926108,20.68965517,6.896551724,7.881773399
活孝齋集,朴獻可,1713,1772,1742,0,14.17322835,3.149606299,68.50393701,2.362204724,8.661417323,3.149606299
竹巖文集,李應龜,1703,1781,1742,0,0,0.427350427,96.15384615,2.136752137,1.282051282,0
松下先生文集,權心揆(聖揆),1706,1779,1742,0,9.633027523,2.752293578,72.01834862,10.55045872,4.128440367,0.917431193
石北集,申光洙,1712,1775,1743,0,30.80939948,5.483028721,54.04699739,8.877284595,0.261096606,0.522193211
樹谷文集,權?,1709,1778,1743,0,6.940063091,4.100946372,82.96529968,5.678233438,0.315457413,0
一枝窩遺稿,金宅東,1708,1778,1743,0,1.604278075,0,90.90909091,6.951871658,0.534759358,0
敬慕齋遺稿,權佶,1712,1774,1743,0,0,4.054054054,79.05405405,4.72972973,5.405405405,6.756756757
詠而齋遺稿,魏文德,1704,1784,1744,0,5,2.692307692,87.30769231,0.384615385,1.923076923,2.692307692
悔尤文集,李忠國,1711,1777,1744,0,2.298850575,4.597701149,89.65517241,2.873563218,0.574712644,0
東渠集,宋鼎?(鼎錫),1711,1778,1744,0,10.47619048,3.80952381,70,7.619047619,2.857142857,5.238095238
