제목,생년,몰년,활동연도,Source,公車類,書簡類,序跋類,詩類,哀祭類,雜著類,傳記類,SUM,Publish,傳記類_Ratio,公車類_Ratio,哀祭類_Ratio,序跋類_Ratio,書簡類_Ratio,詩類_Ratio,雜著類_Ratio
水亭先生集,1373,1437,1405,역대문집DB,0,0,1,300,0,0,0,301,,0,0,0,0.332225914,0,99.66777409,0
?村先生文集,1363,1452,1407,역대문집DB,618,18,3,16,10,1,3,669,,0.448430493,92.37668161,1.494768311,0.448430493,2.69058296,2.391629297,0.149476831
土軒集,1367,1454,1410,역대문집DB,6,1,0,51,0,0,1,59,,1.694915254,10.16949153,0,0,1.694915254,86.44067797,0
菊堂遺稿,1374,1446,1410,문집총간,4,2,11,92,5,8,2,124,1895,1.612903226,3.225806452,4.032258065,8.870967742,1.612903226,74.19354839,6.451612903
寅齋集,1374,1446,1410,문집총간,32,0,2,8,1,4,4,51,1929,7.843137255,62.74509804,1.960784314,3.921568627,0,15.68627451,7.843137255
別洞集,1373,1455,1414,문집총간,30,1,7,95,9,5,6,153,1749,3.921568627,19.60784314,5.882352941,4.575163399,0.653594771,62.09150327,3.267973856
敬齋集,1376,1453,1414,문집총간,6,0,11,180,12,16,5,230,1919,2.173913043,2.608695652,5.217391304,4.782608696,0,78.26086957,6.956521739
泰齋集,1388,1443,1415,문집총간,0,0,8,528,4,5,4,549,1815,0.72859745,0,0.72859745,1.4571949,0,96.17486339,0.910746812
池月堂文集,1379,1463,1421,역대문집DB,0,0,2,191,0,0,0,193,,0,0,0,1.03626943,0,98.96373057,0
敬齋遺稿,1408,1442,1425,문집총간,6,0,5,14,28,7,5,65,1804,7.692307692,9.230769231,43.07692308,7.692307692,0,21.53846154,10.76923077
敬齋先生遺稿,1408,1442,1425,역대문집DB,1,1,9,14,21,6,3,55,,5.454545455,1.818181818,38.18181818,16.36363636,1.818181818,25.45454545,10.90909091
白村先生文集,1399,1456,1427,역대문집DB,34,22,0,4,0,10,2,72,,2.777777778,47.22222222,0,0,30.55555556,5.555555556,13.88888889
歸隱先生遺集,1407,1459,1433,역대문집DB,0,17,1,44,2,12,0,76,,0,0,2.631578947,1.315789474,22.36842105,57.89473684,15.78947368
淵氷堂先生文集,1407,1459,1433,역대문집DB,40,2,1,14,0,3,0,60,,0,66.66666667,0,1.666666667,3.333333333,23.33333333,5
丹溪遺稿,1412,1456,1434,문집총간,4,1,5,13,3,5,3,34,1768,8.823529412,11.76470588,8.823529412,14.70588235,2.941176471,38.23529412,14.70588235
生六臣文集,1392,1480,1436,역대문집DB,6,4,9,291,1,11,1,323,,0.309597523,1.857585139,0.309597523,2.786377709,1.238390093,90.09287926,3.405572755
朴先生遺稿,1417,1456,1436,문집총간,4,1,30,21,0,11,0,67,1658,0,5.970149254,0,44.7761194,1.492537313,31.34328358,16.41791045
成謹甫集,1418,1456,1437,문집총간,2,0,11,39,0,6,6,64,,9.375,3.125,0,17.1875,0,60.9375,9.375
成先生遺稿,1418,1456,1437,역대문집DB,4,2,24,395,0,22,4,451,,0.88691796,0.88691796,0,5.321507761,0.44345898,87.58314856,4.87804878
月川集,1408,1473,1440,역대문집DB,0,0,0,86,0,16,0,102,,0,0,0,0,0,84.31372549,15.68627451
撫松軒集,1416,1464,1440,문집총간,72,0,5,10,5,7,7,106,,6.603773585,67.9245283,4.716981132,4.716981132,0,9.433962264,6.603773585
文節公金先生逸稿,1416,1464,1440,역대문집DB,75,0,0,12,0,1,0,88,,0,85.22727273,0,0,0,13.63636364,1.136363636
不憂軒集,1401,1481,1441,문집총간,4,0,3,38,0,3,4,52,1786,7.692307692,7.692307692,0,5.769230769,0,73.07692308,5.769230769
太虛亭集,1409,1474,1441,문집총간,28,0,20,85,3,7,4,147,1707,2.721088435,19.04761905,2.040816327,13.60544218,0,57.82312925,4.761904762
眞逸遺稿,1427,1456,1441,문집총간,1,0,8,117,0,4,1,131,1467,0.763358779,0.763358779,0,6.106870229,0,89.3129771,3.053435115
拭疣集,1409,1481,1445,문집총간,1,0,7,214,1,38,4,265,,1.509433962,0.377358491,0.377358491,2.641509434,0,80.75471698,14.33962264
樗軒集,1415,1477,1446,문집총간,4,0,3,292,1,7,3,310,1587,0.967741935,1.290322581,0.322580645,0.967741935,0,94.19354839,2.258064516
保閑齋集,1417,1475,1446,문집총간,10,2,36,610,12,26,9,705,1645,1.276595745,1.418439716,1.70212766,5.106382979,0.283687943,86.5248227,3.687943262
訥齋集,1415,1482,1448,문집총간,40,3,7,19,0,13,3,85,1791,3.529411765,47.05882353,0,8.235294118,3.529411765,22.35294118,15.29411765
三灘集,1422,1484,1453,문집총간,1,1,27,567,4,8,19,627,1514,3.03030303,0.159489633,0.637958533,4.306220096,0.159489633,90.43062201,1.275917065
私淑齋集,1424,1483,1453,문집총간,6,4,27,214,5,33,11,300,1805,3.666666667,2,1.666666667,9,1.333333333,71.33333333,11
四佳集,1420,1488,1454,문집총간,3,0,76,3456,1,59,9,3604,1705,0.249722531,0.083240844,0.027746948,2.108768036,0,95.89345172,1.637069922
漁溪集,1420,1489,1454,문집총간,15,2,8,51,10,9,8,103,1901,7.766990291,14.5631068,9.708737864,7.766990291,1.941747573,49.51456311,8.737864078
逍遙齋集,1432,1479,1455,역대문집DB,0,0,6,231,0,1,0,238,,0,0,0,2.521008403,0,97.05882353,0.420168067
退齋先生文集附錄,1418,1495,1456,역대문집DB,47,0,3,11,0,0,0,61,,0,77.04918033,0,4.918032787,0,18.03278689,0
逍遙齋集,1432,1480,1456,문집총간,0,0,5,226,0,2,1,234,1813,0.427350427,0,0,2.136752137,0,96.58119658,0.854700855
佔畢齋集,1431,1492,1461,문집총간,6,5,23,1092,2,21,15,1164,1789,1.288659794,0.515463918,0.171821306,1.975945017,0.429553265,93.81443299,1.804123711
勿齋集,1427,1497,1462,문집총간,12,1,5,36,3,7,2,66,1726,3.03030303,18.18181818,4.545454545,7.575757576,1.515151515,54.54545455,10.60606061
止止堂詩集,1437,1487,1462,문집총간,0,0,2,244,0,0,0,246,1501,0,0,0,0.81300813,0,99.18699187,0
松窩先生文集,1431,1495,1463,역대문집DB,82,0,0,4,0,2,0,88,,0,93.18181818,0,0,0,4.545454545,2.272727273
梅月堂集,1435,1493,1464,문집총간,0,3,3,1438,0,94,12,1550,1583,0.774193548,0,0,0.193548387,0.193548387,92.77419355,6.064516129
楸溪先生遺集,1431,1503,1467,역대문집DB,37,5,3,4,1,2,1,53,,1.886792453,69.81132075,1.886792453,5.660377358,9.433962264,7.547169811,3.773584906
靑坡集,1438,1498,1468,문집총간,1,0,13,101,0,7,2,124,,1.612903226,0.806451613,0,10.48387097,0,81.4516129,5.64516129
㵢谿集,1445,1494,1469,문집총간,0,0,0,380,0,35,0,415,1530,0,0,0,0,0,91.56626506,8.43373494
顔樂堂集,1448,1492,1470,문집총간,16,0,10,132,1,7,6,172,1516,3.488372093,9.302325581,0.581395349,5.813953488,0,76.74418605,4.069767442
虛白亭集,1438,1504,1471,문집총간,9,5,47,799,23,61,39,983,1843,3.967446592,0.915564598,2.339776195,4.78128179,0.508646999,81.28179044,6.205493388
大峯集,1439,1504,1471,문집총간,7,5,5,64,5,3,5,94,1787,5.319148936,7.446808511,5.319148936,5.319148936,5.319148936,68.08510638,3.191489362
虛白堂集,1439,1504,1471,문집총간,8,4,42,1008,17,64,4,1147,1841,0.348735833,0.697471665,1.482127289,3.661726242,0.348735833,87.88142982,5.579773322
大峰集,1439,1503,1471,역대문집DB,7,6,4,63,2,1,1,84,,1.19047619,8.333333333,2.380952381,4.761904762,7.142857143,75,1.19047619
風月亭集,1454,1488,1471,문집총간,0,0,6,338,0,2,1,347,1727,0.288184438,0,0,1.729106628,0,97.40634006,0.576368876
顔樂堂集,1445,1502,1473,역대문집DB,1,5,5,134,0,2,0,147,,0,0.680272109,0,3.401360544,3.401360544,91.15646259,1.360544218
藍溪集,1449,1498,1473,문집총간,2,1,6,10,8,17,2,46,1914,4.347826087,4.347826087,17.39130435,13.04347826,2.173913043,21.73913043,36.95652174
秋江集,1454,1492,1473,문집총간,1,3,5,304,12,17,4,346,1577,1.156069364,0.289017341,3.468208092,1.445086705,0.867052023,87.86127168,4.913294798
四雨亭集,1458,1488,1473,문집총간,0,0,4,421,0,0,0,425,1500,0,0,0,0.941176471,0,99.05882353,0
虛白先生續集,1444,1504,1474,역대문집DB,6,0,43,858,19,35,36,997,,3.610832497,0.601805416,1.905717151,4.312938816,0,86.05817452,3.510531595
山堂集,1458,1491,1474,문집총간,5,3,5,8,11,26,7,65,1685,10.76923077,7.692307692,16.92307692,7.692307692,4.615384615,12.30769231,40
一蠹集,1450,1504,1477,문집총간,11,7,6,9,22,23,7,85,1635,8.235294118,12.94117647,25.88235294,7.058823529,8.235294118,10.58823529,27.05882353
蓮軒雜稿,1449,1507,1478,문집총간,0,0,4,357,0,5,1,367,1696,0.272479564,0,0,1.089918256,0,97.27520436,1.36239782
梅溪集,1454,1503,1478,문집총간,0,1,15,280,3,12,9,320,1883,2.8125,0,0.9375,4.6875,0.3125,87.5,3.75
訥齋遺稿,1464,1493,1478,역대문집DB,10,14,1,296,1,0,2,324,,0.617283951,3.086419753,0.308641975,0.308641975,4.320987654,91.35802469,0
錦南集,1454,1504,1479,문집총간,2,0,3,0,0,126,1,132,1571,0.757575758,1.515151515,0,2.272727273,0,0,95.45454545
篠叢遺稿,1431,1529,1480,역대문집DB,0,1,3,65,0,2,0,71,,0,0,0,4.225352113,1.408450704,91.54929577,2.816901408
桃源先生文集,1443,1518,1480,역대문집DB,0,0,1,80,0,0,0,81,,0,0,0,1.234567901,0,98.7654321,0
濯纓集,1464,1498,1481,문집총간,21,1,18,30,15,29,7,121,1512,5.785123967,17.3553719,12.39669421,14.87603306,0.826446281,24.79338843,23.96694215
懶齋集,1449,1515,1482,문집총간,5,0,2,106,2,10,5,130,1568,3.846153846,3.846153846,1.538461538,1.538461538,0,81.53846154,7.692307692
仙石遺稿,1454,1511,1482,역대문집DB,4,0,1,360,2,0,0,367,,0,1.089918256,0.544959128,0.272479564,0,98.09264305,0
睡軒集,1467,1498,1482,문집총간,2,0,4,51,22,138,2,219,1509,0.913242009,0.913242009,10.0456621,1.826484018,0,23.28767123,63.01369863
忘軒先生文集,1464,1504,1484,역대문집DB,11,0,1,258,0,2,0,272,,0,4.044117647,0,0.367647059,0,94.85294118,0.735294118
李評事集,1471,1498,1484,문집총간,3,0,3,40,2,8,0,56,1631,0,5.357142857,3.571428571,5.357142857,0,71.42857143,14.28571429
虛庵遺集,1469,1502,1485,문집총간,1,0,4,279,0,6,5,295,1897,1.694915254,0.338983051,0,1.355932203,0,94.57627119,2.033898305
忘軒遺稿,1468,1504,1486,문집총간,0,0,2,79,0,4,0,85,1571,0,0,0,2.352941176,0,92.94117647,4.705882353
滄溪集,1457,1521,1489,문집총간,0,0,5,439,0,0,3,447,1906,0.67114094,0,0,1.118568233,0,98.21029083,0
遯齋先生文集,1450,1530,1490,역대문집DB,2,7,9,23,8,2,6,57,,10.52631579,3.50877193,14.03508772,15.78947368,12.28070175,40.35087719,3.50877193
篠䕺遺稿,1452,1529,1490,문집총간,0,1,4,45,12,3,5,70,1810,7.142857143,0,17.14285714,5.714285714,1.428571429,64.28571429,4.285714286
月軒集,1454,1527,1490,문집총간,7,1,5,508,9,8,1,539,1702,0.185528757,1.298701299,1.669758813,0.927643785,0.185528757,94.24860853,1.484230056
玉溪先生文集,1458,1522,1490,역대문집DB,4,0,7,127,0,0,0,138,,0,2.898550725,0,5.072463768,0,92.02898551,0
寓菴稿,1473,1508,1490,문집총간,0,0,1,255,1,0,0,257,,0,0,0.389105058,0.389105058,0,99.22178988,0
二樂亭集,1463,1519,1491,문집총간,8,0,20,177,3,8,45,261,1543,17.24137931,3.0651341,1.149425287,7.662835249,0,67.81609195,3.0651341
木溪逸稿,1464,1519,1491,문집총간,0,1,9,21,0,5,12,48,1910,25,0,0,18.75,2.083333333,43.75,10.41666667
挹翠軒遺稿,1479,1504,1491,문집총간,0,0,4,148,1,1,6,160,1514,3.75,0,0.625,2.5,0,92.5,0.625
?翠軒遺稿,1479,1504,1491,역대문집DB,0,0,1,148,1,1,4,155,,2.580645161,0,0.64516129,0.64516129,0,95.48387097,0.64516129
松齋集,1469,1517,1493,문집총간,2,0,5,265,0,11,4,287,1584,1.393728223,0.696864111,0,1.742160279,0,92.33449477,3.832752613
松齋先生文集續集,1469,1517,1493,역대문집DB,18,1,1,272,0,3,1,296,,0.337837838,6.081081081,0,0.337837838,0.337837838,91.89189189,1.013513514
愚齋先生文集,1463,1529,1496,역대문집DB,78,1,0,1,0,6,0,86,,0,90.69767442,0,0,1.162790698,1.162790698,6.976744186
鄭文翼公遺稿,1462,1538,1500,문집총간,0,0,1,12,0,1,4,18,1702,22.22222222,0,0,5.555555556,0,66.66666667,5.555555556
靜菴集,1482,1519,1500,문집총간,134,2,7,38,24,23,9,237,1681,3.797468354,56.54008439,10.12658228,2.953586498,0.843881857,16.03375527,9.70464135
靜菴先生文集,1482,1519,1500,역대문집DB,125,2,4,31,27,17,6,212,,2.830188679,58.96226415,12.73584906,1.886792453,0.943396226,14.62264151,8.018867925
訥齋集,1474,1530,1502,문집총간,9,0,7,620,10,9,6,661,1796,0.907715582,1.361573374,1.512859304,1.059001513,0,93.79727685,1.361573374
訥齋先生別集,1474,1530,1502,역대문집DB,0,0,6,664,1,2,0,673,,0,0,0.14858841,0.891530461,0,98.66270431,0.29717682
困菴先生文集,1476,1528,1502,역대문집DB,0,1,3,172,0,27,0,203,,0,0,0,1.477832512,0.492610837,84.72906404,13.30049261
十淸集,1473,1533,1503,문집총간,1,0,7,291,3,10,6,318,1748,1.886792453,0.314465409,0.943396226,2.201257862,0,91.50943396,3.144654088
雙槐軒遺集,1483,1524,1503,역대문집DB,0,0,5,79,0,1,0,85,,0,0,0,5.882352941,0,92.94117647,1.176470588
冲庵集,1486,1521,1503,문집총간,8,8,10,403,27,12,9,477,1549,1.886792453,1.677148847,5.660377358,2.096436059,1.677148847,84.48637317,2.51572327
松齋集,1486,1521,1503,문집총간,22,4,4,18,5,15,5,73,1889,6.849315068,30.1369863,6.849315068,5.479452055,5.479452055,24.65753425,20.54794521
松堂集,1471,1540,1505,문집총간,0,5,10,27,8,14,4,68,1905,5.882352941,0,11.76470588,14.70588235,7.352941176,39.70588235,20.58823529
容齋集,1478,1534,1506,문집총간,7,0,18,1260,11,17,28,1341,1586,2.087994034,0.521998509,0.820283371,1.342281879,0,93.95973154,1.267710664
陰崖集,1480,1533,1506,문집총간,8,4,5,118,3,15,5,158,1754,3.164556962,5.063291139,1.898734177,3.164556962,2.53164557,74.6835443,9.493670886
德陽遺稿,1492,1521,1506,문집총간,5,4,5,326,1,7,4,352,1606,1.136363636,1.420454545,0.284090909,1.420454545,1.136363636,92.61363636,1.988636364
服齋先生文集,1492,1521,1506,역대문집DB,0,1,2,317,0,61,0,381,,0,0,0,0.524934383,0.262467192,83.20209974,16.01049869
憂亭集,1474,1540,1507,문집총간,4,0,3,516,23,1,7,554,1860,1.263537906,0.722021661,4.151624549,0.541516245,0,93.14079422,0.180505415
希樂堂稿,1481,1537,1509,문집총간,9,0,12,306,9,51,26,413,,6.295399516,2.179176755,2.179176755,2.905569007,0,74.09200969,12.34866828
月淵集,1483,1536,1509,문집총간,0,0,7,17,2,9,6,41,1873,14.63414634,0,4.87804878,17.07317073,0,41.46341463,21.95121951
灌圃詩集,1470,1550,1510,문집총간,0,0,2,213,0,2,0,217,1617,0,0,0,0.921658986,0,98.15668203,0.921658986
安分堂詩集,1473,1548,1510,문집총간,0,0,0,104,0,0,0,104,,0,0,0,0,0,100,0
慕齋集,1478,1543,1510,문집총간,84,2,17,1282,14,28,58,1485,1574,3.905723906,5.656565657,0.942760943,1.144781145,0.134680135,86.32996633,1.885521886
自菴先生文集,1488,1533,1510,역대문집DB,4,5,1,67,0,1,1,79,,1.265822785,5.063291139,0,1.265822785,6.329113924,84.81012658,1.265822785
聾巖集,1467,1555,1511,문집총간,3,17,9,182,20,7,6,244,1665,2.459016393,1.229508197,8.196721311,3.68852459,6.967213115,74.59016393,2.868852459
聾巖先生文集,1467,1555,1511,역대문집DB,14,10,4,160,0,2,1,191,,0.523560209,7.329842932,0,2.094240838,5.235602094,83.76963351,1.047120419
自菴集,1488,1534,1511,문집총간,4,5,3,68,1,5,3,89,1659,3.370786517,4.494382022,1.123595506,3.370786517,5.617977528,76.40449438,5.617977528
默齋集,1476,1549,1512,문집총간,5,0,5,362,3,5,15,395,1561,3.797468354,1.265822785,0.759493671,1.265822785,0,91.64556962,1.265822785
?齋先生文集,1476,1549,1512,역대문집DB,4,0,1,408,0,1,0,414,,0,0.966183575,0,0.241545894,0,98.55072464,0.241545894
學圃集,1480,1545,1512,문집총간,10,1,6,20,5,13,12,67,1840,17.91044776,14.92537313,7.462686567,8.955223881,1.492537313,29.85074627,19.40298507
江?遺稿,1484,1540,1512,역대문집DB,10,14,1,296,1,0,2,324,,0.617283951,3.086419753,0.308641975,0.308641975,4.320987654,91.35802469,0
冲齋集,1478,1548,1513,문집총간,7,6,4,36,9,20,7,89,1671,7.865168539,7.865168539,10.11235955,4.494382022,6.741573034,40.4494382,22.47191011
思齋集,1485,1541,1513,문집총간,9,4,8,380,3,18,6,428,1591,1.401869159,2.102803738,0.700934579,1.869158879,0.934579439,88.78504673,4.205607477
漁村集,1487,1540,1513,문집총간,16,0,11,551,10,12,8,608,1572,1.315789474,2.631578947,1.644736842,1.809210526,0,90.625,1.973684211
拙齋先生文集,1480,1548,1514,역대문집DB,6,0,3,199,1,3,7,219,,3.196347032,2.739726027,0.456621005,1.369863014,0,90.86757991,1.369863014
雲巖逸稿,1487,1544,1515,문집총간,3,0,2,11,3,2,5,26,1783,19.23076923,11.53846154,11.53846154,7.692307692,0,42.30769231,7.692307692
獨庵遺稿,1495,1535,1515,문집총간,0,0,4,205,1,1,3,214,1760,1.401869159,0,0.46728972,1.869158879,0,95.79439252,0.46728972
南村遺稿,1476,1558,1517,역대문집DB,0,0,4,135,0,2,0,141,,0,0,0,2.836879433,0,95.74468085,1.418439716
圭菴先生文集,1487,1547,1517,역대문집DB,2,4,1,81,0,5,4,97,,4.12371134,2.06185567,0,1.030927835,4.12371134,83.50515464,5.154639175
花潭集,1489,1546,1517,문집총간,3,4,8,114,5,20,3,157,1605,1.910828025,1.910828025,3.184713376,5.095541401,2.547770701,72.61146497,12.7388535
檜山集,1497,1540,1518,문집총간,4,0,5,21,1,8,3,42,1765,7.142857143,9.523809524,2.380952381,11.9047619,0,50,19.04761905
逍遙堂先生逸稿,1479,1560,1519,역대문집DB,0,4,8,63,3,20,1,99,,1.01010101,0,3.03030303,8.080808081,4.04040404,63.63636364,20.2020202
企齋集,1484,1555,1519,문집총간,23,0,7,1232,15,21,17,1315,1573,1.292775665,1.74904943,1.140684411,0.532319392,0,93.68821293,1.596958175
企齋文集,1484,1555,1519,역대문집DB,21,0,7,1232,12,19,15,1306,,1.148545176,1.607963247,0.918836141,0.535987749,0,94.3338438,1.45482389
?齋先生文集,1495,1545,1520,역대문집DB,2,2,1,138,2,5,2,152,,1.315789474,1.315789474,1.315789474,0.657894737,1.315789474,90.78947368,3.289473684
立巖集,1493,1549,1521,문집총간,28,0,7,448,1,10,2,496,1610,0.403225806,5.64516129,0.201612903,1.411290323,0,90.32258065,2.016129032
潛庵逸稿,1495,1547,1521,문집총간,2,1,3,132,4,5,4,151,1833,2.649006623,1.324503311,2.649006623,1.986754967,0.662251656,87.41721854,3.311258278
潛巖逸稿,1495,1547,1521,역대문집DB,2,2,0,134,4,2,0,144,,0,1.388888889,2.777777778,0,1.388888889,93.05555556,1.388888889
晦齋集,1491,1553,1522,문집총간,33,5,9,251,9,12,14,333,1565,4.204204204,9.90990991,2.702702703,2.702702703,1.501501502,75.37537538,3.603603604
長吟亭遺稿,1498,1546,1522,문집총간,0,0,2,78,0,0,1,81,1528,1.234567901,0,0,2.469135802,0,96.2962963,0
養心堂集,1492,1555,1523,문집총간,0,3,3,77,0,3,0,86,1568,0,0,0,3.488372093,3.488372093,89.53488372,3.488372093
溫溪逸稿,1496,1550,1523,문집총간,0,0,3,87,4,22,8,124,1772,6.451612903,0,3.225806452,2.419354839,0,70.16129032,17.74193548
圭菴集,1499,1547,1523,문집총간,19,3,6,72,8,13,9,130,1907,6.923076923,14.61538462,6.153846154,4.615384615,2.307692308,55.38461538,10
陽谷集,1486,1562,1524,문집총간,4,0,11,973,2,10,32,1032,1571,3.100775194,0.387596899,0.19379845,1.065891473,0,94.28294574,0.968992248
陽谷先生文集,1486,1562,1524,역대문집DB,0,0,13,1351,2,12,34,1412,,2.407932011,0,0.141643059,0.920679887,0,95.67988669,0.849858357
湖陰先生遺集,1494,1555,1524,역대문집DB,0,8,1,171,3,15,0,198,,0,0,1.515151515,0.505050505,4.04040404,86.36363636,7.575757576
武陵雜稿,1495,1554,1524,문집총간,9,33,24,1095,31,28,22,1242,1564,1.771336554,0.724637681,2.495974235,1.93236715,2.657004831,88.16425121,2.254428341
松齋遺稿,1498,1551,1524,문집총간,10,4,6,45,10,10,6,91,1777,6.593406593,10.98901099,10.98901099,6.593406593,4.395604396,49.45054945,10.98901099
十省堂集,1508,1543,1525,문집총간,2,0,0,319,0,6,2,329,1585,0.607902736,0.607902736,0,0,0,96.96048632,1.823708207
倻溪集,1494,1558,1526,문집총간,8,2,3,19,7,30,8,77,1924,10.38961039,10.38961039,9.090909091,3.896103896,2.597402597,24.67532468,38.96103896
無何翁集,1498,1554,1526,문집총간,0,1,1,136,1,3,1,143,1801,0.699300699,0,0.699300699,0.699300699,0.699300699,95.1048951,2.097902098
艮齋集,1503,1549,1526,문집총간,5,0,1,678,12,10,7,713,1928,0.981767181,0.701262272,1.683029453,0.140252454,0,95.0911641,1.402524544
龍巖集,1493,1562,1527,문집총간,0,24,3,57,7,7,6,104,1778,5.769230769,0,6.730769231,2.884615385,23.07692308,54.80769231,6.730769231
龍巖先生文集,1493,1562,1527,역대문집DB,0,12,2,64,7,0,4,89,,4.494382022,0,7.865168539,2.247191011,13.48314607,71.91011236,0
龍門集,1498,1557,1527,문집총간,4,3,2,462,3,4,6,484,1779,1.239669421,0.826446281,0.619834711,0.41322314,0.619834711,95.45454545,0.826446281
泛虛亭集,1493,1564,1528,문집총간,203,14,9,17,2,9,4,258,1942,1.550387597,78.68217054,0.775193798,3.488372093,5.426356589,6.589147287,3.488372093
聽松集,1493,1564,1528,문집총간,0,0,2,27,7,2,5,43,1806,11.62790698,0,16.27906977,4.651162791,0,62.79069767,4.651162791
梅潭先生詩稿,1496,1561,1528,역대문집DB,0,0,0,108,0,0,0,108,,0,0,0,0,0,100,0
漁村集,1490,1568,1529,역대문집DB,7,1,3,636,0,5,0,652,,0,1.073619632,0,0.460122699,0.153374233,97.54601227,0.766871166
錦湖遺稿,1514,1545,1529,역대문집DB,1,0,2,124,0,0,0,127,,0,0.787401575,0,1.57480315,0,97.63779528,0
湖陰雜稿,1491,1570,1530,문집총간,311,1,8,1160,3,3,36,1522,1577,2.365308804,20.43363995,0.197109067,0.525624179,0.065703022,76.21550591,0.197109067
崇德齋遺稿,1498,1562,1530,문집총간,2,50,1,117,3,1,2,176,1914,1.136363636,1.136363636,1.704545455,0.568181818,28.40909091,66.47727273,0.568181818
崇德齋先生遺稿,1498,1562,1530,역대문집DB,1,30,0,97,1,0,0,129,,0,0.775193798,0.775193798,0,23.25581395,75.19379845,0
錦湖遺稿,1514,1547,1530,문집총간,1,0,4,142,0,4,1,152,1677,0.657894737,0.657894737,0,2.631578947,0,93.42105263,2.631578947
石川詩集,1496,1568,1532,문집총간,0,0,0,660,0,1,0,661,1572,0,0,0,0,0,99.84871407,0.15128593
東洲先生逸稿,1506,1559,1532,역대문집DB,0,0,1,62,3,2,2,70,,2.857142857,0,4.285714286,1.428571429,0,88.57142857,2.857142857
耻齋遺稿,1515,1554,1534,문집총간,2,20,1,11,0,29,2,65,1639,3.076923077,3.076923077,0,1.538461538,30.76923077,16.92307692,44.61538462
舟川遺稿,1520,1549,1534,문집총간,4,1,2,18,3,4,2,34,1607,5.882352941,11.76470588,8.823529412,5.882352941,2.941176471,52.94117647,11.76470588
東皐遺稿,1499,1572,1535,문집총간,97,30,3,48,6,12,12,208,1586,5.769230769,46.63461538,2.884615385,1.442307692,14.42307692,23.07692308,5.769230769
退溪集,1501,1570,1535,문집총간,90,1047,39,1059,55,1926,130,4346,1843,2.991256328,2.070869765,1.265531523,0.897376898,24.09111827,24.36723424,44.31661298
退溪先生全書遺集外篇,1501,1570,1535,역대문집DB,54,2042,87,1542,0,56,53,3834,,1.382368284,1.408450704,0,2.269170579,53.26030256,40.21909233,1.460615545
河西全集,1510,1560,1535,문집총간,7,6,9,1143,14,43,14,1236,1802,1.132686084,0.566343042,1.132686084,0.72815534,0.485436893,92.47572816,3.478964401
南冥集,1501,1572,1536,문집총간,11,42,4,193,43,14,22,329,1604,6.686930091,3.343465046,13.06990881,1.215805471,12.76595745,58.66261398,4.255319149
游軒集,1512,1560,1536,문집총간,6,0,6,201,4,15,20,252,1801,7.936507937,2.380952381,1.587301587,2.380952381,0,79.76190476,5.952380952
松坡逸稿,1514,1558,1536,문집총간,1,0,1,72,0,9,2,85,1809,2.352941176,1.176470588,0,1.176470588,0,84.70588235,10.58823529
俛仰集,1493,1582,1537,문집총간,6,21,7,418,7,62,14,535,1829,2.61682243,1.121495327,1.308411215,1.308411215,3.925233645,78.13084112,11.58878505
一齋集,1499,1576,1537,문집총간,0,17,3,46,15,7,4,92,1673,4.347826087,0,16.30434783,3.260869565,18.47826087,50,7.608695652
寓庵遺集,1512,1563,1537,문집총간,5,0,3,50,0,6,3,67,1789,4.47761194,7.462686567,0,4.47761194,0,74.62686567,8.955223881
毅齋遺稿,1516,1558,1537,역대문집DB,1,0,1,243,0,0,0,245,,0,0.408163265,0,0.408163265,0,99.18367347,0
大谷集,1497,1579,1538,문집총간,4,0,1,198,4,4,5,216,1603,2.314814815,1.851851852,1.851851852,0.462962963,0,91.66666667,1.851851852
大谷先生文集,1497,1579,1538,역대문집DB,0,0,1,206,4,4,4,219,,1.826484018,0,1.826484018,0.456621005,0,94.06392694,1.826484018
東皐遺稿,1499,1578,1538,역대문집DB,103,19,1,48,6,0,7,184,,3.804347826,55.97826087,3.260869565,0.543478261,10.32608696,26.08695652,0
寓庵遺集,1512,1565,1538,역대문집DB,5,0,3,66,0,6,2,82,,2.43902439,6.097560976,0,3.658536585,0,80.48780488,7.317073171
碧梧先生文集,1498,1581,1539,역대문집DB,0,3,0,82,3,0,0,88,,0,0,3.409090909,0,3.409090909,93.18181818,0
久庵集,1509,1570,1539,문집총간,13,5,4,39,14,10,9,94,1791,9.574468085,13.82978723,14.89361702,4.255319149,5.319148936,41.4893617,10.63829787
岐峯集,1522,1556,1539,문집총간,0,0,6,182,0,2,1,191,1899,0.523560209,0,0,3.141361257,0,95.28795812,1.047120419
錦溪集,1517,1563,1540,문집총간,7,28,8,783,9,25,1,861,1755,0.116144019,0.81300813,1.045296167,0.929152149,3.25203252,90.94076655,2.903600465
龜巖集,1512,1571,1541,문집총간,9,6,12,279,11,43,8,368,1902,2.173913043,2.445652174,2.989130435,3.260869565,1.630434783,75.81521739,11.68478261
葛川集,1500,1584,1542,문집총간,8,1,5,45,3,10,9,81,1665,11.11111111,9.87654321,3.703703704,6.172839506,1.234567901,55.55555556,12.34567901
負暄堂遺稿,1512,1573,1542,문집총간,0,0,4,55,1,7,3,70,1883,4.285714286,0,1.428571429,5.714285714,0,78.57142857,10
潛溪李先生遺稿,1516,1568,1542,역대문집DB,2,0,2,45,0,1,0,50,,0,4,0,4,0,90,2
