제목,생년,몰년,활동연도,Source,公車類,書簡類,序跋類,詩類,哀祭類,雜著類,傳記類,SUM,Publish,傳記類_Ratio,公車類_Ratio,哀祭類_Ratio,序跋類_Ratio,書簡類_Ratio,詩類_Ratio,雜著類_Ratio
伊山集,1873,1948,1910,역대문집DB,0,116,4,270,40,3,1,434,,0.230414747,0,9.216589862,0.921658986,26.7281106,62.21198157,0.69124424
石隱文集,1874,1947,1910,역대문집DB,0,39,10,106,22,15,0,192,,0,0,11.45833333,5.208333333,20.3125,55.20833333,7.8125
松塢遺稿,1875,1945,1910,역대문집DB,0,57,4,312,10,4,1,388,,0.257731959,0,2.577319588,1.030927835,14.69072165,80.41237113,1.030927835
克齋集,1875,1945,1910,역대문집DB,4,174,74,188,50,103,264,857,,30.80513419,0.466744457,5.834305718,8.634772462,20.3033839,21.9369895,12.01866978
可軒文集,1876,1945,1910,역대문집DB,0,45,9,263,16,0,3,336,,0.892857143,0,4.761904762,2.678571429,13.39285714,78.27380952,0
來山遺稿,1878,1943,1910,역대문집DB,0,0,1,103,0,0,0,104,,0,0,0,0.961538462,0,99.03846154,0
畏堂遺稿,1878,1942,1910,역대문집DB,0,4,1,140,7,0,0,152,,0,0,4.605263158,0.657894737,2.631578947,92.10526316,0
松岡遺稿,1881,1939,1910,역대문집DB,0,5,0,61,3,1,1,71,,1.408450704,0,4.225352113,0,7.042253521,85.91549296,1.408450704
?巖集,1888,1933,1910,역대문집DB,0,21,2,220,8,4,3,258,,1.162790698,0,3.100775194,0.775193798,8.139534884,85.27131783,1.550387597
沙陽遺稿,1867,1955,1911,역대문집DB,0,25,0,94,11,2,0,132,,0,0,8.333333333,0,18.93939394,71.21212121,1.515151515
古齋文集,1870,1953,1911,역대문집DB,0,44,21,199,7,34,6,311,,1.92926045,0,2.250803859,6.752411576,14.14790997,63.98713826,10.93247588
雲林逸稿,1870,1953,1911,역대문집DB,0,14,0,173,14,1,0,202,,0,0,6.930693069,0,6.930693069,85.64356436,0.495049505
後松遺稿,1871,1952,1911,역대문집DB,0,35,9,68,6,6,4,128,,3.125,0,4.6875,7.03125,27.34375,53.125,4.6875
百泉集,1871,1951,1911,역대문집DB,0,63,20,191,19,33,48,374,,12.8342246,0,5.080213904,5.347593583,16.84491979,51.06951872,8.823529412
華山文集,1875,1947,1911,역대문집DB,0,41,8,184,4,7,15,259,,5.791505792,0,1.544401544,3.088803089,15.83011583,71.04247104,2.702702703
溪軒遺稿,1875,1947,1911,역대문집DB,0,1,0,49,0,0,0,50,,0,0,0,0,2,98,0
雲樵遺稿,1876,1947,1911,역대문집DB,0,23,2,118,34,0,7,184,,3.804347826,0,18.47826087,1.086956522,12.5,64.13043478,0
雷山遺稿,1876,1946,1911,역대문집DB,0,29,9,280,5,13,7,343,,2.040816327,0,1.457725948,2.623906706,8.454810496,81.63265306,3.790087464
剛窩集,1876,1946,1911,역대문집DB,0,43,10,226,20,5,7,311,,2.250803859,0,6.430868167,3.215434084,13.82636656,72.66881029,1.607717042
履道齋遺稿,1877,1946,1911,역대문집DB,0,2,1,55,8,0,0,66,,0,0,12.12121212,1.515151515,3.03030303,83.33333333,0
活菴遺稿,1878,1944,1911,역대문집DB,0,81,11,189,24,16,30,351,,8.547008547,0,6.837606838,3.133903134,23.07692308,53.84615385,4.558404558
湖庵文集,1881,1941,1911,역대문집DB,0,67,9,148,18,11,3,256,,1.171875,0,7.03125,3.515625,26.171875,57.8125,4.296875
心菴遺稿,1882,1941,1911,역대문집DB,0,112,35,133,0,54,24,358,,6.703910615,0,0,9.776536313,31.2849162,37.15083799,15.08379888
石田遺稿,1883,1940,1911,역대문집DB,0,26,3,41,4,1,4,79,,5.063291139,0,5.063291139,3.797468354,32.91139241,51.89873418,1.265822785
稼隱逸稿,1883,1940,1911,역대문집DB,0,0,2,115,0,0,0,117,,0,0,0,1.709401709,0,98.29059829,0
約齋文集,1885,1937,1911,역대문집DB,0,109,15,189,36,18,13,380,,3.421052632,0,9.473684211,3.947368421,28.68421053,49.73684211,4.736842105
紹塘遺稿,1889,1933,1911,역대문집DB,0,47,24,69,9,13,23,185,,12.43243243,0,4.864864865,12.97297297,25.40540541,37.2972973,7.027027027
月洲遺稿,1895,1928,1911,역대문집DB,1,32,8,70,12,3,2,128,,1.5625,0.78125,9.375,6.25,25,54.6875,2.34375
惺軒先生文集,1871,1954,1912,역대문집DB,0,35,35,191,4,61,42,368,,11.41304348,0,1.086956522,9.510869565,9.510869565,51.90217391,16.57608696
魯齋文集,1871,1953,1912,역대문집DB,0,51,3,277,31,6,4,372,,1.075268817,0,8.333333333,0.806451613,13.70967742,74.46236559,1.612903226
錦西遺稿,1871,1954,1912,역대문집DB,0,39,3,292,34,4,2,374,,0.534759358,0,9.090909091,0.802139037,10.42780749,78.07486631,1.069518717
愼小齋遺稿,1872,1952,1912,역대문집DB,0,32,14,95,0,0,2,143,,1.398601399,0,0,9.79020979,22.37762238,66.43356643,0
小波詩文選稿,1872,1953,1912,역대문집DB,0,8,28,825,5,15,12,893,,1.343784994,0,0.559910414,3.13549832,0.895856663,92.38521837,1.679731243
可林文集,1875,1950,1912,역대문집DB,0,64,14,266,48,4,8,404,,1.98019802,0,11.88118812,3.465346535,15.84158416,65.84158416,0.99009901
槐庵逸稿,1877,1948,1912,역대문집DB,0,0,4,77,4,4,0,89,,0,0,4.494382022,4.494382022,0,86.51685393,4.494382022
後菴文集,1878,1947,1912,역대문집DB,0,164,63,285,22,93,176,803,,21.91780822,0,2.739726027,7.845579078,20.4234122,35.49190535,11.58156912
鳳山文集,1878,1947,1912,역대문집DB,0,18,14,42,20,12,22,128,,17.1875,0,15.625,10.9375,14.0625,32.8125,9.375
